 Emotion   time 

    anger -  0:0.0
    anger -  0:0.1
    anger -  0:0.1
    anger -  0:0.1
    anger -  0:0.2
    anger -  0:0.2
    anger -  0:0.2
    anger -  0:0.3
    anger -  0:0.3
    anger -  0:0.3
    anger -  0:0.4
    anger -  0:0.4
    anger -  0:0.4
    anger -  0:0.5
    anger -  0:0.5
    anger -  0:0.5
    anger -  0:0.6
    anger -  0:0.6
    anger -  0:0.6
    anger -  0:0.7
    anger -  0:0.7
    anger -  0:0.7
    anger -  0:0.8
    anger -  0:0.8
    anger -  0:0.8
    anger -  0:0.9
    anger -  0:0.9
    anger -  0:0.9
    anger -  0:1.0
    anger -  0:1.0
    anger -  0:1.0
    anger -  0:1.1
    anger -  0:1.1
    anger -  0:1.1
    anger -  0:1.2
    anger -  0:1.2
    anger -  0:1.2
    anger -  0:1.3
    anger -  0:1.3
    anger -  0:1.3
    anger -  0:1.4
    anger -  0:1.4
    anger -  0:1.4
    anger -  0:1.5
    anger -  0:1.5
    surprise -  0:1.5
    surprise -  0:1.6
    anger -  0:1.6
    anger -  0:1.6
    anger -  0:1.7
    anger -  0:1.7
    anger -  0:1.7
    anger -  0:1.8
    anger -  0:1.8
    anger -  0:1.8
    anger -  0:1.9
    anger -  0:1.9
    anger -  0:1.9
    anger -  0:2.0
    anger -  0:2.0
    anger -  0:2.0
    anger -  0:2.1
    anger -  0:2.1
    anger -  0:2.1
    anger -  0:2.2
    anger -  0:2.2
    anger -  0:2.2
    anger -  0:2.3
    anger -  0:2.3
    anger -  0:2.3
    anger -  0:2.4
    anger -  0:2.4
    anger -  0:2.4
    anger -  0:2.5
    anger -  0:2.5
    anger -  0:2.5
    anger -  0:2.6
    anger -  0:2.6
    anger -  0:2.6
    anger -  0:2.7
    anger -  0:2.7
    anger -  0:2.7
    anger -  0:2.8
    anger -  0:2.8
    anger -  0:2.8
    anger -  0:2.9
    anger -  0:2.9
    anger -  0:2.9
    anger -  0:3.0
    anger -  0:3.0
    anger -  0:3.0
    anger -  0:3.1
    anger -  0:3.1
    anger -  0:3.1
    anger -  0:3.2
    anger -  0:3.2
    anger -  0:3.2
    anger -  0:3.3
    anger -  0:3.3
    anger -  0:3.3
    anger -  0:3.4
    anger -  0:3.4
    anger -  0:3.4
    anger -  0:3.5
    anger -  0:3.5
    anger -  0:3.5
    anger -  0:3.6
    anger -  0:3.6
    anger -  0:3.6
    anger -  0:3.7
    anger -  0:3.7
    anger -  0:3.7
    neutral -  0:3.8
    anger -  0:3.8
    fear -  0:3.8
    anger -  0:3.9
    happy -  0:3.9
    fear -  0:3.9
    fear -  0:4.0
    happy -  0:4.0
    happy -  0:4.0
    happy -  0:4.1
